Sr No,Item No,Unit,Pack Size,Description,Brand,Unit Price Per Case,Unit Price Per Packsize Unit,Category,Max Quantity,Market Price,Market Price Unit
1,607622,CS,5 LB,"ALMOND, SLIVERED BLANCHED SHELL OFF BAG NUT",FISHER,42.27,,,,,
2,1333780,CS,12/13 OZ,"ANCHOVY, FILLET FLAT IN OLIVE OIL IMPORTED TIN REF",RYKOFF SEXTON,107.11,,,,,
3,3331899,CS,88 EA,"APPLE, FUJI 88 COUNT WASHINGTON FANCY FRESH REF",CROSS VALLEY FARMS,43.32,,,,,
4,6433700,CS,20-22 EA,"APPLE, GALA 20-22 COUNT WASHINGTON EXTRA-FANCY FRESH REF",CROSS VALLEY FARMS,15.86,,,,,
5,3616429,CS,2/4 LB,"ARTICHOKE, QUARTERED FIRE GRILLED PAIL FROZEN",RYKOFF SEXTON,43.95,,,,,
6,9546982,CS,2/2 LB,"ARUGULA, BABY WILD BUNCH LOOSE LEAF BAG FRESH REF",CROSS VALLEY FARMS,18.05,,,,,
7,5858543,CS,30 LB,"AVOCADO, BREAKER STAGE 2-3 #2 GRADE 48-60 COUNT FRESH REF",PACKER,74.69,,,,,
8,1201896,CS,15 LB,"BACON, PORK 14-16 COUNT SHINGLE HARDWOOD SMOKED HONEY CURED RAW REF",DAILY'S PREMIUM MEATS,50.81,,,,,
9,2335925,CS,4/3 LB,"BACON, PORK CANADIAN STYLE SLICED 48 COUNT SMOKED COOKED REF",PATUXENT FARMS,46.97,,,,,
10,4002101,CS,12/32 OZ,"BAR MIX, BLOODY MARY SHELF STABLE COCKTAIL",TABASCO,31,,,,,
11,5182720,CS,12/1 LT,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",ROSES COCKTAIL INFUSIONS,42.27,,,,,
12,3205044,CS,4/1 GA,"BAR MIX, MARGARITA PLASTIC BOTTLE REF PREMIUM COCKTAIL",SUN ORCHARD,31.27,,,,,
13,7333362,CS,2/10 LB,"BASE, BEEF PASTE NO MSG SHELF STABLE PAIL SOUP",MOLLY'S KITCHEN,120.03,,,,,
14,4333423,CS,2/10 LB,"BASE, CHICKEN PASTE NO MSG SHELF STABLE PAIL SOUP",MOLLY'S KITCHEN,105.61,,,,,
15,7516313,CS,6/1 LB,"BASE, TURKEY PASTE NO MSG SHELF STABLE SOUP",CUSTOM CULINARY GOLD LABEL,50.24,,,,,
16,4326401,CS,1 LB,"BASIL, FRESH HERB",CROSS VALLEY FARMS,12.46,,,,,
17,2986529,CS,6/#10 CN,"BEAN, BAKED W/ BACON & BROWN SUGAR CANNED PREMIUM",MONARCH-D,38.17,,,,,
18,9332313,CS,6/#10 CN,"BEAN, BLACK FANCY CANNED",DEL PASADO,25.93,,,,,
19,2329183,CS,6/#10 CN,"BEAN, KIDNEY DARK RED BRINE CANNED",MONARCH-D,32.34,,,,,
20,8727026,CS,36/4.25 OZ,"BEEF SUB, BURGER MEATLESS BLACK BEAN RAW FROZEN",CHEF'S LINE,40.16,,,,,
21,8713235,CS,4/10/4 OZ,"BEEF SUB, PATTY BURGER MEATLESS WHEAT & POTATO PROTEIN RAW FROZEN VACUUM-PA",IMPOSSIBLE BURGER,100.85,,,,,
22,261396,CS,4/17 LBA,"BEEF, BOTTOM SIRLOIN BUTT TRI TIP CHOICE ANGUS 185C RAW REF",STOCK YARDS ANGUS BEEF,,4.08,,,,
23,3400322,CS,20/8 OZ,"BEEF, BREADED FRITTER STEAK 8 OZ RAW FROZEN",WESTERN STYLE,56.99,,,,,
24,3845328,CS,5/10 LBA,"BEEF, BRISKET CHOICE ANGUS 120 DECKLE OFF RAW REF",STOCK YARDS ANGUS BEEF,,3.16,,,,
25,1704980,CS,48/5.33 OZ,"BEEF, PATTY GROUND 80/20 3:1 HOMESTYLE .6"" THICK RAW REF",CATTLEMAN'S SELECTION,44.94,,,,,
26,1562792,CS,40/4 OZ,"BEEF, PATTY GROUND 80/20 4:1 ROUND .31"" THICK SCORED RAW IQF FROZEN",CATTLEMAN'S SELECTION,27.63,,,,,
27,1296037,CS,40/4 OZ,"BEEF, PHILLY FLAT SIRLOIN RAW FROZEN 4 OZ BREAKAWAY SLICED",STEAK EZE,61.15,,,,,
28,7087463,CS,65 LBA,"BEEF, PLATE OUTSIDE SKIRT 121C RAW REF",PACKER,,6.45,,,,
29,3427549,CS,2/12 LBA,"BEEF, STRIP LOIN CHOICE 180 0X1 BONELESS RAW REF",STOCK YARDS,,6.33,,,,
30,9996943,CS,36/5.33 OZ,"BISON, PATTY BEEF ADDED 85/15 3:1 ROUND DOMESTIC RAW FROZEN BULK BUFFALO",DURHAM RANCH,78.96,,,,,
31,7839004,CS,50 EA,"BOX, PIZZA 16"" B-FLUTE WHITE SPECIAL PRINT 1.88"" H CORRUGATED PAPER BOARD",SIDEWINDERS TAVERN,0,,,,,
32,8608523,CS,22/10.4 OZ,"BREAD, BAGUETTE FRENCH WHITE 20-22"" UNSLICED PARBAKED FROZEN",TRIBECA OVEN,33.66,,,,,
33,420794,CS,6/36.29 OZ,"BREAD, RYE MARBLE 12.5"" 19 SLICED 5/8"" LOAF FROZEN",ROTELLA'S ITALIAN BAKERY,26.57,,,,,
34,7336423,CS,8/35.4 OZ,"BREAD, SOURDOUGH 12.5"" 19 SLICED 5/8"" LOAF SPLIT TOP FROZEN",ROTELLA'S ITALIAN BAKERY,26.7,,,,,
35,1021567,CS,6/5 LB,"BREADER, BATTER MIX TEMPURA BAG",KRUSTEAZ,32.63,,,,,
36,2326429,CS,4/3 LB,"BROCCOLI, FLORET ICELESS POLY PACK FRESH REF",CROSS VALLEY FARMS,24.23,,,,,
37,8532087,CS,18 EA,"BROCCOLINI, FRESH REF",PACKER,29.57,,,,,
38,6752900,CS,48/2.7 OZ,"BUN, HAMBURGER POTATO 4"" SLICED BAKED FROZEN",HILLTOP HEARTH,20.66,,,,,
39,8693459,CS,48/2.7 OZ,"BUN, HAMBURGER WHEAT GREEK YOGURT 4"" SLICED BAKED FROZEN",HILLTOP HEARTH,22.76,,,,,
40,568683,CS,5/3.4 LB,"BUTTER, CONTINENTAL CHIP 59 COUNT SALTED FOIL REF",GLENVIEW FARMS,59.08,,,,,
41,4681433,CS,30/1 LB,"BUTTER, SOLID GRADE AA UNSALTED REF SWEET CREAM",GLENVIEW FARMS,83.95,,,,,
42,4332011,CS,4/5 LB,"CABBAGE, RED SHRED 1/8"" PILLOW PACK FRESH REF",CROSS VALLEY FARMS,19.95,,,,,
43,1326800,CS,10/2.5 LB,"CALAMARI, RING-&-TENTACLE 5/8"" CLEANED RAW BLOCK FROZEN LAYER PACK USA WILD",HARBOR BANKS,178.61,,,,,
44,3419660,CS,25 LB,"CARROT, JUMBO #1 GRADE BAG FRESH REF",CROSS VALLEY FARMS,18.81,,,,,
45,4725495,CS,24 EA,"CELERY, STALK FRESH REF",CROSS VALLEY FARMS,30.2,,,,,
46,33308,CS,6/5 LB,"CHEESE, AMERICAN LOAF PROCESSED SPREAD VELVEETA REF",VELVEETA,74.91,,,,,
47,7767294,CS,4/5 LB,"CHEESE, AMERICAN WHITE SLICED 160 COUNT TFF PROCESSED REF",GLENVIEW FARMS,39.84,,,,,
