Product Name,Category,Storage,Standard Unit of Measure,Taxable,Comparable,Par Level,Custom Unit of Measure
2 Women New Glarus,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Bell's Oberon ,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Bell's Two Hearted Ale,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Bud Light,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
BUDWEISER ,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Clausthauler,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
COORS LIGHT,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
CORONA,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
CORONA LIGHT,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
CORONA PREMIER,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
GUINESS,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Michelob Ultra,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
MILLER HIGH LIFE TALL BOYS,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
MILLER LITE,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
MKE IPA Cans,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
MKE Louise's Demise Cans,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
MKE Ogii Cans,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
MKE Outboard Cans,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Montucky Cold Snacks,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Naturdays,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
PACIFICO,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
PBR 16OZ,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Pseudo Sue,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Sauza Agua Fuerte,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Scarlett Fire,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Smirnoff Cran/Lime Hard Seltzer,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
SOL,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Spotted Cow Cans,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Stella Artois,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Stella Cidre,Bottle/Can Beer,Beer Cooler,,NO,YES,,Bottle 
TECATE,Bottle/Can Beer,Beer Cooler,,NO,YES,,Can 
TECATE LIGHT,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Terrapin,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Totally Naked 3 Some,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
UNSHADOWED (ALE ASYLUM),Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
WHITE CLAW ,Bottle/Can Beer,Beer Cooler,,NO,YES,,12oz Bottle 
Blue cheese crumbles ,DAIRY,Cooler,,NO,YES,,5LB Bag 
Butter Milk ,DAIRY,Cooler,,NO,YES,,1/2 Gallon
Cheese cake ,DAIRY,Cooler,,NO,YES,,Pie
Sour Cream,DAIRY,Cooler,,NO,YES,,5Lb Tub
BUD LIGHT - Keg,Keg Beer,Beer Cooler,,NO,YES,,Keg 
