Sr No,Item No,Unit,Pack Size,Description,Brand,Unit Price Per Case,Unit Price Per Packsize Unit,Category,Max Quantity,Market Price,Market Price Unit
1,8046302,cs,6/160CT,WIPE DISINFECTANT SURFACE STERILE,DIAMWPS,37.07,,,,,
2,1203207,cs,4/5LB,CREAM SOUR ALL NATURAL GRADE A,WHLFCLS,25.05,,,,,
3,1871227,cs,1/2.5GAL,ICE CREAM VANILLA,HAGNDAZ,45.2,,,,,
4,4609772,cs,6/.5 GAL,MILK HOMOGENIZED EXTENDED SHELF LIFE SPOUT,WHLFCLS,20.79,,,,,
5,5469259,cs,2/2.2 LB,CHEESE BRIE DOMESTIC 1 KG,BBRLIMP,19.59,,,,,
6,1177559,cs,12/5.29OZ,CHEESE BOURSIN HERB FRENCH,BOURSIN,43.6,,,,,
7,2105849,cs,1/15 DZ,EGG IN-SHELL EXTRA-LARGE GRADE AA USDA WHITE,WHLFCLS,20.97,,,,,
8,4828554,cs,12/32 OZ,CREAMER HALF & HALF EXTENDED SHELF LIFE,WHLFCLS,25.39,,,,,
9,4828802,cs,12/32 OZ,CREAM HEAVY WHIPPING 36% EXTENDED SHELF LIFE,WHLFCLS,44.63,,,,,
10,5926910,cs,36/1 LB,BUTTER SOLID UNSALTED USDA AA,WHLFIMP,99.95,,,,,
11,3029614,cs,4/5 LB,BUTTER CLARIFIED 4-5#,WHLFCLS,79.37,,,,,
12,698142,cs,2/5#,CHEESE BLUE CRUMBLE LARGE,SYS IMP,30.16,,,,,
13,1403898,cs,1/10 LB,EGG HARDBOILED WHOLE PEELED SELECT,WHLFCLS,15.27,,,,,
14,3295080,cs,6/32 OZ,YOGURT PLAIN GREEK NONFAT,YOPLAIT,29.63,,,,,
15,6935464,cs,12/32 OZ,CREAM HEAVY 40% EXTENDED SHELF LIFE STABILIZED,WHLFCLS,47.51,,,,,
16,8919086,cs,4/5 LB,CHEESE CHEDDAR JACK FEATHER SHREDDED,CASAIMP,49.27,,,,,
17,4099418,cs,8/1 LB,CHEESE MOZZARELLA LOG SLICED FRESH CRYOVAC,AREZIMP,31.16,,,,,
18,1956804,cs,2/5 LB,CHEESE ASIAGO SHREDDED,AREZIMP,38.68,,,,,
19,1871201,cs,1/2.5GAL,ICE CREAM CHOCOLATE,HAGNDAZ,45.65,,,,,
20,4066682,cs,4/5LB,CHEESE PARMESAN SHREDDED FANCY USA,AREZIMP,71.32,,,,,
21,4066682,ea,1/5LB,CHEESE PARMESAN SHREDDED FANCY USA,AREZIMP,18.8,,,,,
22,3716750,cs,6/3 LB,CHEESE CREAM ORIGINAL LOAF,PHILA,47.23,,,,,
23,4830533,cs,520/.23 OZ,BUTTER ROSETTE SALTED SOLID PREMIUM,BTRFARM,47.04,,,,,
24,6697114,cs,4/5 LB,CHEESE AMERICAN 120 SLICES YELLOW,BBRLCLS,41.72,,,,,
25,6697114,ea,1/5 LB,CHEESE AMERICAN 120 SLICES YELLOW,BBRLCLS,11,,,,,
26,2105823,cs,1/15 DZ,EGG IN-SHELL LARGE GRADE AA USDA WHITE,WHLFCLS,17.98,,,,,
27,671677,cs,2/5 LB,CHEESE BLUE CRUMBLES,SYS IMP,28.06,,,,,
28,1140427,cs,12/10.5OZ,CHEESE GOAT LOG CHEVRE,BBRLIMP,53.63,,,,,
29,3715679,cs,6/5 LB,CHEESE SPREAD LOAF PASTEURIZED PROCESSED,VELVETA,0,,,,,
30,5020193,cs,2/5 LB,CREAM SOUR CULTURED GRADE A,WHLFCLS,14.47,,,,,
31,8116055,cs,360/3/8 OZ,CREAMER HALF & HALF SHELF STABLE,WHLFCLS,14.54,,,,,
32,15438,cs,4/5 LB,CHEESE PARMESAN SHAVED,ANDOLNA,77.52,,,,,
33,15438,ea,1/5 LB,CHEESE PARMESAN SHAVED,ANDOLNA,20.43,,,,,
